"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"skiplimit",10000,5000,313242.7136103312,250377.73450215656,250377.73450215656,250377.73450215656
"idlimit",10000,5000,213366.38927459717,191633.7013244629,191633.7013244629,191633.7013244629
"skiplimit",60000,5000,203149.85513687134,207202.3550669352,207202.3550669352,189242.2835032145
"idlimit",60000,5000,158863.9285829332,179886.9768778483,179886.9768778483,147864.34173583984
"skiplimit",110000,5000,152599.24440672903,181346.33700052896,173568.8845316569,150072.3361968994
"idlimit",110000,5000,145290.63846125748,178784.6883138021,164728.32361857095,143119.97095743814
"skiplimit",160000,5000,148187.39891052246,221664.3492380778,171738.3066813151,141803.02619934082
"idlimit",160000,5000,124833.62605174382,139176.92502339682,138181.0506184896,123326.61946614583
"skiplimit",210000,5000,140438.2274264381,253112.71349589032,172101.65659586588,127401.03403727213
"idlimit",210000,5000,152902.4498803275,230115.016301473,197001.29826863608,146284.97759501138
"skiplimit",260000,5000,188387.62625669822,221695.6615447998,216395.29863993326,187882.4234008789
"idlimit",260000,5000,158853.7219243172,209725.69783528647,200622.3201751709,152700.02683003744
"skiplimit",310000,5000,193869.57281379288,283345.93772888184,250514.58676656085,187212.94403076172
"idlimit",310000,5000,168121.93265525243,250782.64872233075,204278.31013997397,163463.35411071777
