"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"skiplimit",10000,500,176222.86876042685,278213.7393951416,278213.7393951416,178321.36154174805
"idlimit",10000,500,155685.59567133585,249774.29707845053,249774.29707845053,134704.7487894694
"skiplimit",10000,1000,222327.23236083984,241775.0358581543,241775.0358581543,219512.6215616862
"idlimit",10000,1000,162575.80916086835,174479.64350382486,174479.64350382486,157439.3113454183
"skiplimit",10000,2000,238619.31165059409,224444.309870402,224444.309870402,198763.60893249512
"idlimit",10000,2000,325210.34876505536,344762.96106974286,344762.96106974286,313604.59327697754
"skiplimit",10000,5000,1072876.8110275269,845059.9511464437,845059.9511464437,845059.9511464437
"idlimit",10000,5000,917539.4773483276,828976.9490559896,828976.9490559896,828976.9490559896
"skiplimit",50000,500,143876.14885965982,332321.6438293457,222541.65013631186,123740.35517374675
"idlimit",50000,500,117774.27514394124,220872.72008260092,198438.0086263021,113785.66424051921
"skiplimit",50000,1000,187922.02790578204,351466.6557312012,285205.6821187337,169384.63846842447
"idlimit",50000,1000,166993.45588684082,328391.71091715497,285907.66588846844,153154.0552775065
"skiplimit",50000,2000,264321.346282959,500589.7680918375,345587.65093485516,224122.0474243164
"idlimit",50000,2000,196109.3584696452,239591.3600921631,236382.64338175455,186237.97098795572
"skiplimit",50000,5000,482602.28633880615,634269.9527740479,634269.9527740479,437446.27634684247
